date,BATI AKDENİZ YTM,BATI ANADOLU YTM,DOĞU AKDENİZ YTM,DOĞU ANADOLU YTM,GÜNEY DOĞU ANADOLU YTM,KUZEY BATI ANADOLU YTM,ORTA ANADOLU YTM,ORTA KARADENİZ YTM,TRAKYA YTM
2017-07-26,3465.8,6999.33,3950.08,1128.39,6834.82,9357.47,5023.97,2068.6,6831.41
2017-07-27,3381.02,6492.09,3971.26,1155.83,6628.12,9246.95,4990.45,2114.45,6513.02
2017-07-28,3182.37,6104.65,3798.81,1163.03,6521.26,8461.7,4855.98,2101.25,5909.6
2017-07-29,3062.38,5731.48,3526.85,1127.69,6327.83,7880.34,4435.44,1991.46,5499.31
2017-07-30,2948.05,5349.98,3318.46,1124.63,6081.87,6392.02,4183.73,1815.98,4169.41
2017-07-31,3400.08,6468.35,3813.55,1123.35,6528.36,8717.32,4703.93,2023.36,6180.22
2017-08-01,3409.52,6385.06,3890.72,1135.76,6652.5,8418.48,4761.9,2016.36,6279.24
2017-08-02,3477.98,6617.66,3971.07,1123.54,6710.26,8288.65,4860.78,2071.78,6424.45
2017-08-03,3361.91,6930.47,3793.21,1155.1,6920.44,8802.2,4926.36,2045.07,6550.98
2017-08-04,3191.6,6401.34,3684.91,1128.22,6674.93,8770.86,4622.33,2137.54,6593.41
2017-08-05,3017.75,6132.9,3587.01,1107.57,6494.41,7818.26,4037.42,2046.39,5930.97
2017-08-06,2756.49,5664.18,3177.42,1099.5,6165.43,6623.55,3885.95,1921.28,4567.1
2017-08-07,3211.18,6906.31,3918.05,1100.73,6712.79,8950.28,4557.67,2003.12,6980.5
2017-08-08,3235.23,6953.32,3919.25,1147.54,6825.29,8907.46,4626.34,2085.42,6604.54
2017-08-09,3314.63,7095.13,4012.36,1104.39,6932.07,9111.0,4777.11,2139.97,6674.1
2017-08-10,3373.73,7081.29,3939.14,1152.03,6882.03,8743.08,4805.87,2072.65,6582.64
2017-08-11,3373.61,7014.34,3773.32,1112.28,6987.42,9018.01,4783.03,2170.86,6663.81
2017-08-12,3287.27,6359.92,3599.8,1127.62,6674.8,8200.92,4446.09,1966.34,5987.06
2017-08-13,3070.22,5554.85,3435.49,1114.69,6250.62,6551.03,4190.89,1873.4,4405.83
2017-08-14,3418.79,6586.69,3872.65,1118.24,6826.07,8585.79,4865.72,2069.57,6358.84
2017-08-15,3407.2,6181.3,3831.62,1142.81,6918.52,8459.81,4786.24,1996.78,6231.96
2017-08-16,3345.68,6471.13,3768.79,1074.34,6885.62,8431.71,4843.27,2000.71,6328.35
2017-08-17,3268.53,6435.98,3843.5,1093.46,6767.96,8236.45,4682.41,1993.51,6451.05
2017-08-18,3193.09,6455.25,3621.89,1093.05,6741.44,8625.18,4650.81,1991.54,6601.77
2017-08-19,3101.13,6038.91,3338.97,1095.93,6470.55,8011.14,4301.54,1957.98,5831.18
2017-08-20,2826.06,5590.86,3278.37,1075.19,6135.43,6508.6,4043.15,1877.38,4408.81
2017-08-21,3087.7,6319.42,3716.82,1111.76,6631.55,8582.47,4491.34,2068.58,6386.98
2017-08-22,3110.74,6084.76,3687.16,1145.33,6553.25,8252.71,4512.9,2052.02,5866.7
2017-08-23,2986.78,5855.29,3703.26,1095.74,6499.12,8175.63,4412.4,1961.76,5910.33
2017-08-24,3162.88,5898.1,3874.98,1118.07,6667.21,8250.66,4359.21,1966.31,5975.34
2017-08-25,3179.54,5837.55,3833.32,1126.08,6543.9,8173.43,4329.68,1935.79,5947.73
2017-08-26,3120.94,5410.71,3686.26,1094.68,6413.58,7555.56,4051.67,1929.2,5272.13
2017-08-27,2960.29,5097.35,3453.62,1118.77,5972.14,6342.37,3822.96,1898.56,4052.74
2017-08-28,3117.74,5936.93,3658.91,1137.86,6378.49,7814.31,4127.91,1956.7,5447.5
2017-08-29,2987.04,5751.72,3594.02,1122.06,6239.98,7491.55,4039.23,1908.85,5304.73
2017-08-30,2662.04,5120.02,3242.06,1106.27,5744.62,6008.54,3574.22,1718.29,3935.96
2017-08-31,2464.3,4312.88,2934.66,1094.76,5214.45,5049.75,3219.22,1662.19,3337.62
2017-09-01,2347.2,3888.33,2878.24,912.45,4752.44,4447.35,2746.77,1462.8,2769.09
2017-09-02,2416.22,4287.54,2791.58,951.85,4768.05,4579.62,2897.95,1558.63,2952.7
2017-09-03,2481.66,4494.85,2995.85,980.32,5056.68,4945.45,3082.01,1579.35,3130.55
2017-09-04,2645.08,4621.85,3142.02,1019.76,5248.92,5460.06,3382.71,1698.0,3342.7
2017-09-05,3065.86,5690.25,3779.93,1094.67,6299.73,7583.19,4043.41,1866.08,5377.63
2017-09-06,2902.62,5468.67,3633.3,1097.75,6181.08,7533.15,3932.01,1926.87,5537.79
2017-09-07,2875.46,5486.47,3338.31,1074.81,5946.03,7894.7,3943.95,1812.54,5652.37
2017-09-08,2852.16,5441.93,3327.94,1114.93,5888.46,8036.07,3912.46,1907.8,5765.36
2017-09-09,2811.14,5366.33,3259.45,1118.47,5824.21,7457.93,3744.1,1891.37,5203.01
2017-09-10,2722.93,5012.17,3060.89,1110.67,5645.34,6286.38,3569.11,1782.43,4017.1
