country/region,year,energy_source,pm,iea,region
India,2021,coal,1027283.0,1184152.7213,Asian
India,2021,gas,32360.26987348564,53065.5233,Asian
India,2021,hydro,162423.0,165368.4991,Asian
India,2021,nuclear,39391.0,41407.7848,Asian
India,2021,oil,2905.7301265143606,5445.4331,Asian
India,2021,other,28362.65028033273,29930.3907,Asian
India,2021,solar,55058.53893846531,67352.4874,Asian
India,2021,wind,64919.810781201966,77929.1085,Asian
Ireland,2018,coal,4384.1785,4090.4184,Europe
Ireland,2018,gas,9460.2105,15440.309000000001,Europe
Ireland,2018,hydro,954.3384940000001,921.978,Europe
Ireland,2018,nuclear,0.0,0.0,Europe
Ireland,2018,oil,2232.169,134.4276,Europe
Ireland,2018,other,0.0,817.9515,Europe
Ireland,2018,solar,0.0,16.6561,Europe
Ireland,2018,wind,8679.343499999999,8639.767,Europe
Ireland,2019,coal,2701.9339999999997,2352.0029,Europe
Ireland,2019,gas,8544.576000000001,15363.972399999999,Europe
Ireland,2019,hydro,1021.864502,1120.1411,Europe
Ireland,2019,nuclear,0.0,0.0,Europe
Ireland,2019,oil,2161.3475,270.6909,Europe
Ireland,2019,other,0.0,823.2533,Europe
Ireland,2019,solar,0.0,40.1201,Europe
Ireland,2019,wind,9494.693,10019.4849,Europe
Ireland,2020,coal,1976.9265,1525.9818,Europe
Ireland,2020,gas,8397.613,15603.4339,Europe
Ireland,2020,hydro,1062.890758,1211.4961,Europe
Ireland,2020,nuclear,0.0,0.0,Europe
Ireland,2020,oil,2279.0935,378.041,Europe
Ireland,2020,other,0.0,900.3387,Europe
Ireland,2020,solar,0.0,63.8438,Europe
Ireland,2020,wind,11078.9925,11549.42,Europe
Ireland,2021,coal,3983.7484999999997,6579.888,Europe
Ireland,2021,gas,5900.516,14495.9309,Europe
Ireland,2021,hydro,875.928002,1025.3654999999999,Europe
Ireland,2021,nuclear,0.0,0.0,Europe
Ireland,2021,oil,3212.46575,1082.1908,Europe
Ireland,2021,other,0.0,930.0508,Europe
Ireland,2021,solar,0.0,63.8438,Europe
Ireland,2021,wind,9514.950498,9712.4805,Europe
Italy,2018,coal,27544.5665,29614.2366,Europe
Italy,2018,gas,74570.9735,122967.5331,Europe
Italy,2018,hydro,48392.729,49929.0041,Europe
Italy,2018,nuclear,0.0,0.0,Europe
Italy,2018,oil,970.615,10551.196,Europe
Italy,2018,other,69852.1325,24079.9567,Europe
Italy,2018,solar,17800.259000000002,22265.364,Europe
Italy,2018,wind,17359.232,17556.8078,Europe
Italy,2019,coal,22837.7925,20344.6174,Europe
Italy,2019,gas,113589.6005,135632.3816,Europe
Italy,2019,hydro,46683.8085,47590.056899999996,Europe
Italy,2019,nuclear,0.0,0.0,Europe
Italy,2019,oil,956.368,9719.2484,Europe
Italy,2019,other,36820.591,24415.4295,Europe
Italy,2019,solar,19084.427,23319.7818,Europe
Italy,2019,wind,19937.0775,0.0,Europe
Italy,2020,coal,18591.155,14432.2088,Europe
Italy,2020,gas,109100.93549999999,128255.1249,Europe
Italy,2020,hydro,48191.616500000004,48951.8481,Europe
